PLAYER,NATIONALITY,TYPE,PRICE PAID,TEAM
Avanish Rao Aravelly ,Indian ,Wicket-Keeper ,"20,00,000",CSK
Mustafizur Rahman ,Overseas ,Bowler ,"2,00,00,000",CSK
Daryl Mitchell ,Overseas ,All-Rounder ,"14,00,00,000",CSK
Sameer Rizvi ,Indian ,Batter ,"8,40,00,000",CSK
Rachin Ravindra ,Overseas ,All-Rounder ,"1,80,00,000",CSK
Shardul Thakur ,Indian ,All-Rounder ,"4,00,00,000",CSK
Ricky Bhui ,Indian ,Wicket-Keeper ,"20,00,000",DC
Sumit Kumar ,Indian ,All-Rounder ,"1,00,00,000",DC
Swastik Chhikara ,Indian ,Batter ,"20,00,000",DC
Jhye Richardson ,Overseas ,Bowler ,"5,00,00,000",DC
Shai Hope ,Overseas ,Wicket-Keeper ,"75,00,000",DC
Rasikh Dar ,Indian ,Bowler ,"20,00,000",DC
Kumar Kushagra ,Indian ,Wicket-Keeper ,"7,20,00,000",DC
Tristan Stubbs ,Overseas ,Wicket-Keeper ,"50,00,000",DC
Harry Brook ,Overseas ,Batter ,"4,00,00,000",DC
Kartik Tyagi ,Indian ,Bowler ,"60,00,000",GT
Spencer Johnson ,Overseas ,Bowler ,"10,00,00,000",GT
Manav Suthar ,Indian ,Bowler ,"20,00,000",GT
Robin Minz ,Indian ,Wicket-Keeper ,"3,60,00,000",GT
Sushant Mishra ,Indian ,Bowler ,"2,20,00,000",GT
Azmatullah Omarzai ,Overseas ,All-Rounder ,"50,00,000",GT
Shahrukh Khan ,Indian ,All-Rounder ,"7,40,00,000",GT
Umesh Yadav ,Indian ,Bowler ,"5,80,00,000",GT
Mujeeb Rahman ,Overseas ,Bowler ,"2,00,00,000",KKR
Manish Pandey ,Indian ,Batter ,"50,00,000",KKR
Gus Atkinson ,Overseas ,Bowler ,"1,00,00,000",KKR
Angkrish Raghuvanshi ,Indian ,Batter ,"20,00,000",KKR
Mitchell  Starc ,Overseas ,Bowler ,"24,75,00,000",KKR
Sherfane Rutherford ,Overseas ,Batter ,"1,50,00,000",KKR
Ramandeep  Singh ,Indian ,All-Rounder ,"20,00,000",KKR
K.S. Bharat ,Indian ,Wicket-Keeper ,"50,00,000",KKR
Chetan Sakariya ,Indian ,Bowler ,"50,00,000",KKR
Sakib Hussain ,Indian ,Bowler ,"20,00,000",KKR
Ashton Turner ,Overseas ,Batter ,"1,00,00,000",LSG
David Willey  ,Overseas ,All-Rounder ,"2,00,00,000",LSG
M. Siddharth ,Indian ,Bowler ,"2,40,00,000",LSG
Shivam  Mavi ,Indian ,Bowler ,"6,40,00,000",LSG
Arshin Kulkarni ,Indian ,All-Rounder ,"20,00,000",LSG
Mohd. Arshad Khan ,Indian ,All-Rounder ,"20,00,000",LSG
Dilshan Madushanka ,Overseas ,Bowler ,"4,60,00,000",MI
Shreyas Gopal ,Indian ,Bowler ,"20,00,000",MI
Shivalik Sharma ,Indian ,All-Rounder ,"20,00,000",MI
Anshul Kamboj ,Indian ,All-Rounder ,"20,00,000",MI
Mohammad Nabi ,Overseas ,All-Rounder ,"1,50,00,000",MI
Naman Dhir ,Indian ,All-Rounder ,"20,00,000",MI
Nuwan Thushara ,Overseas ,Bowler ,"4,80,00,000",MI
Gerald Coetzee ,Overseas ,All-Rounder ,"5,00,00,000",MI
Chris Woakes  ,Overseas ,All-Rounder ,"4,20,00,000",PBKS
Tanay Thyagarajann ,Indian ,All-Rounder ,"20,00,000",PBKS
Vishwanath Pratap Singh ,Indian ,All-Rounder ,"20,00,000",PBKS
Ashutosh Sharma ,Indian ,All-Rounder ,"20,00,000",PBKS
Shashank  Singh ,Indian ,Batter ,"20,00,000",PBKS
Rilee Rossouw ,Overseas ,Batter ,"8,00,00,000",PBKS
Prince Choudhary ,Indian ,Bowler ,"20,00,000",PBKS
Harshal Patel ,Indian ,All-Rounder ,"11,75,00,000",PBKS
Shubham Dubey ,Indian ,Batter ,"5,80,00,000",RR
Rovman Powell ,Overseas ,Batter ,"7,40,00,000",RR
Abid Mushtaq ,Indian ,All-Rounder ,"20,00,000",RR
Nandre Burger ,Overseas ,Bowler ,"50,00,000",RR
Tom Kohler-Cadmore ,Overseas ,Wicket-Keeper ,"40,00,000",RR
Lockie Ferguson ,Overseas ,Bowler ,"2,00,00,000",RCB
Tom Curran ,Overseas ,All-Rounder ,"1,50,00,000",RCB
Saurav Chuahan ,Indian ,Batter ,"20,00,000",RCB
Alzarri Joseph ,Overseas ,Bowler ,"11,50,00,000",RCB
Swapnil Singh ,Indian ,All-Rounder ,"20,00,000",RCB
Yash  Dayal ,Indian ,Bowler ,"5,00,00,000",RCB
Jhathavedh Subramanyan ,Indian ,Bowler ,"20,00,000",SRH
Akash Singh ,Indian ,Bowler ,"20,00,000",SRH
Jaydev Unadkat ,Indian ,Bowler ,"1,60,00,000",SRH
Wanindu Hasaranga ,Overseas ,All-Rounder ,"1,50,00,000",SRH
Pat Cummins ,Overseas ,All-Rounder ,"20,50,00,000",SRH
Travis Head ,Overseas ,Batter ,"6,80,00,000",SRH
